,Fiscal Year,NICA_Bonus,PRVU_Bonus,GBIME_Bonus,NABIL_Bonus,SBL_Bonus,NICA_Cash,PRVU_Cash,GBIME_Cash,NABIL_Cash,SBL_Cash
0,079-080,29.0,0.0,1.0,0.0,0.0,1.53,0.0,8.0,11.0,4.21
1,078-079,0.0,6.5,3.0,18.5,12.5,0.0,1.5,10.6,11.5,0.66
2,077-078,0.0,12.0,10.0,33.6,14.25,0.0,0.63,3.5,4.4,0.75
3,076-077,19.0,10.0,14.0,33.5,12.0,1.0,0.53,2.0,1.76,3.0
4,075-076,10.0,16.0,12.75,12.0,10.0,11.05,0.84,12.75,22.0,15.26
5,074-075,10.0,8.0,16.0,12.0,5.0,0.53,0.42,0.0,22.0,8.16
6,073-074,20.0,0.0,10.0,30.0,14.0,1.05,0.0,10.0,18.0,0.0
7,072-073,26.0,0.0,16.0,30.0,39.0,1.37,0.0,0.0,15.0,0.0
8,071-072,39.0,0.0,23.0,30.0,20.0,2.05,0.0,0.0,6.84,1.05
9,070-071,15.0,0.0,21.0,20.0,12.0,15.0,0.0,4.0,45.0,11.16
