Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NABIL,7/4/2024,485,490,480,487,0.62%,"58,487.00"
NABIL,7/3/2024,477,484,469,484,1.45%,"48,855.00"
NABIL,7/2/2024,467.9,499.3,466,477.1,3.99%,"93,437.00"
NABIL,7/1/2024,457,458.8,450,458.8,1.50%,"31,786.00"
NABIL,6/30/2024,456.9,461,450.8,452,-0.88%,"55,043.00"
NABIL,6/27/2024,456,457,454.6,456,0.00%,"29,699.00"
NABIL,6/26/2024,458.8,460,455.1,456,-0.48%,"57,007.00"
NABIL,6/25/2024,462,465,455.3,458.2,-0.63%,"56,926.00"
NABIL,6/24/2024,464,467,461.1,461.1,-1.05%,"45,036.00"
NABIL,6/23/2024,469,469,465,466,-0.87%,"53,680.00"
NABIL,6/20/2024,481.4,481.4,469.6,470.1,-0.40%,"51,724.00"
NABIL,6/19/2024,469,475,469,472,0.64%,"29,603.00"
NABIL,6/18/2024,483,483,468.7,469,-1.26%,"43,382.00"
NABIL,6/16/2024,488.6,488.6,473.2,475,-0.86%,"48,170.00"
NABIL,6/13/2024,490,490,479,479.1,-0.81%,"63,580.00"
NABIL,6/12/2024,480,490,480,483,1.05%,"45,437.00"
NABIL,6/11/2024,477.3,478.1,466.1,478,2.14%,"50,026.00"
NABIL,6/10/2024,483.4,483.4,462.6,468,-1.27%,"57,462.00"
NABIL,6/9/2024,486.5,486.5,474,474,-0.63%,"42,853.00"
NABIL,6/6/2024,480.1,485,477,477,-0.63%,"40,452.00"
NABIL,6/5/2024,483,487.6,479,480,-0.62%,"43,444.00"
NABIL,6/4/2024,493,493,480.3,483,-0.39%,"37,907.00"
NABIL,6/3/2024,496.9,497,484,484.9,-1.04%,"46,126.00"
NABIL,6/2/2024,476,490.5,476,490,2.45%,"77,895.00"
NABIL,5/30/2024,485,492,469.8,478.3,-2.19%,"104,947.00"
NABIL,5/29/2024,505,522,488.5,489,-3.72%,"124,575.00"
NABIL,5/27/2024,523.9,523.9,500.2,507.9,-1.76%,"101,039.00"
NABIL,5/26/2024,515,532,507,517,0.58%,"257,882.00"
NABIL,5/22/2024,480.9,515,480.9,514,6.88%,"307,056.00"
NABIL,5/21/2024,460,481,457,480.9,5.00%,"144,313.00"
NABIL,5/20/2024,443,463.4,441,458,4.81%,"97,887.00"
NABIL,5/19/2024,439.6,439.6,432.2,437,1.39%,"47,893.00"
NABIL,5/16/2024,442.6,442.6,428,431,-0.69%,"40,117.00"
NABIL,5/15/2024,440,441,434,434,0.12%,"36,943.00"
NABIL,5/14/2024,435.5,435.5,430,433.5,0.63%,"35,940.00"
NABIL,5/13/2024,426,431.5,422.4,430.8,2.09%,"68,228.00"
NABIL,5/12/2024,421.1,425,420,422,-0.17%,"44,038.00"
NABIL,5/9/2024,428,428,419,422.7,-0.42%,"40,811.00"
NABIL,5/8/2024,427,427,422,424.5,0.59%,"18,323.00"
NABIL,5/7/2024,422.3,430.7,421.9,422,-0.47%,"38,545.00"
NABIL,5/6/2024,427,427,423,424,-0.47%,"26,747.00"
NABIL,5/5/2024,430,432,425,426,-0.81%,"41,759.00"
NABIL,5/2/2024,440.1,440.1,427.5,429.5,-0.46%,"47,931.00"
NABIL,4/30/2024,437.5,437.5,426,431.5,0.58%,"44,100.00"
NABIL,4/29/2024,435.5,435.5,424.5,429,0.47%,"51,708.00"
NABIL,4/28/2024,435.8,435.8,427,427,-0.07%,"43,925.00"
NABIL,4/25/2024,429,433,427,427.3,-0.40%,"52,043.00"
NABIL,4/24/2024,430,435,428.5,429,0.00%,"35,268.00"
NABIL,4/22/2024,428,435,428,429,0.23%,"30,359.00"
NABIL,4/21/2024,437,437,422,428,-0.44%,"68,601.00"
NABIL,4/18/2024,434,434,429,429.9,-0.72%,"39,409.00"
NABIL,4/16/2024,435,435,431,433,-0.46%,"33,034.00"
NABIL,4/15/2024,438,439,434.1,435,-0.68%,"33,297.00"
NABIL,4/14/2024,438,446,436.6,438,0.00%,"37,958.00"
NABIL,4/10/2024,440,442,436,438,-0.23%,"46,883.00"
NABIL,4/9/2024,446.7,446.7,432,439,0.23%,"51,408.00"
NABIL,4/7/2024,434,438,430.1,438,0.92%,"83,715.00"
NABIL,4/4/2024,434,436,432.7,434,0.00%,"37,125.00"
NABIL,4/3/2024,439,439,432,434,-0.46%,"40,271.00"
NABIL,4/2/2024,437,440,432,436,-0.68%,"26,386.00"
